,Pageviews
406,9015
407,8400
408,7756
409,6851
410,6860
411,7890
412,8422
413,8694
414,10122
415,8392
416,6836
417,7330
418,8395
419,8897
420,9239
421,8900
422,8442
423,7126
424,7543
425,8722
426,8666
427,9172
428,8596
429,8115
430,7347
431,7896
432,9039
433,9374
434,9426
435,10042
436,9121
437,8218
438,7890
439,10175
440,11035
441,10442
442,10277
443,10414
444,9034
445,9227
446,9584
447,9873
448,9285
449,9903
450,8100
451,8840
452,7642
453,9531
454,8507
455,8127
456,8014
457,8491
458,7590
459,7652
460,8347
461,9345
462,9086
463,8649
464,8874
465,7025
466,7078
467,7981
468,9581
469,10134
470,8788
471,8502
472,6829
473,7378
474,9038
475,9037
476,8766
477,7861
478,9966
479,6727
480,8054
481,8868
482,9923
483,8501
484,8667
485,14518
486,10900
487,8571
488,12082
489,10272
490,10374
491,9857
492,9168
493,12204
494,10908
495,11614
496,11807
497,12959
498,11493
499,10046
500,8957
501,9805
502,21607
503,11771
504,12522
505,11377
506,10650
507,8894
508,10466
509,11120
510,11421
511,10960
512,11876
513,10238
514,8430
515,9523
516,12311
517,14544
518,12018
519,10921
520,11564
521,8544
522,8833
523,10512
524,11527
525,10847
526,10893
527,9588
528,8835
529,8676
530,10465
531,11745
532,11373
533,10924
534,10416
535,8770
536,9127
537,11821
538,11646
539,12246
540,13374
541,14116
542,11547
543,10882
544,12433
545,13454
546,14314
547,15813
548,16270
549,10295
550,9554
551,22579
552,25183
553,22281
554,24655
555,21964
556,17362
557,16490
558,17720
559,16258
560,17559
561,18224
562,16546
563,15220
564,12144
565,13679
566,16112
567,14637
568,14435
569,11860
570,10255
571,11029
572,14272
573,13062
574,12050
575,11932
576,11747
577,12571
578,11690
579,14073
580,13225
581,13278
582,13524
583,12876
584,11078
585,12070
586,13166
587,13554
588,13313
589,13381
590,12212
591,10009
592,10944
593,12472
594,11624
595,12330
596,12923
597,14331
598,12842
599,10644
600,12193
601,13870
602,13371
603,14046
604,15834
605,17751
606,16385
607,15063
608,15679
609,17507
610,18929
611,40347
612,25835
613,17862
614,20274
615,17149
616,15721
617,15556
618,19093
619,15958
620,14093
621,16417
622,19528
623,17689
624,16895
625,15663
626,15288
627,14669
628,17922
629,16453
630,14885
631,14546
632,13225
633,11334
634,12736
635,13370
636,13970
637,13533
638,13812
639,12980
640,11815
641,11420
642,14614
643,14537
644,13465
645,13169
646,13208
647,11200
648,10873
649,13166
650,16999
651,13871
652,13786
653,12174
654,10065
655,11044
656,18666
657,22995
658,15773
659,14703
660,14230
661,11143
662,12071
663,16047
664,16503
665,14681
666,14889
667,13791
668,11038
669,16195
670,14544
671,17143
672,17277
673,19238
674,16900
675,17793
676,17777
677,19666
678,23935
679,24385
680,25185
681,39626
682,47817
683,43113
684,91099
685,88685
686,59979
687,45865
688,38662
689,33314
690,31659
691,70929
692,77232
693,70266
694,73348
695,61597
696,41682
697,32640
698,35534
699,35423
700,34254
701,31694
702,28056
703,25776
704,23455
705,28797
706,35757
707,33834
708,27396
709,26320
710,23523
711,27303
712,35940
713,32860
714,28795
715,29145
716,28247
717,23079
718,22615
719,25447
720,28562
721,32491
722,30385
723,25673
724,24171
725,22222
726,25687
727,35577
728,45873
729,34271
730,26499
731,23015
732,24879
733,25546
734,25454
735,26835
736,27578
737,24291
738,21337
739,22075
740,26029
741,27965
742,27322
743,28320
744,24585
745,20377
746,20854
747,24527
748,29243
749,31101
750,32662
751,26503
752,23406
753,28733
754,28648
755,26829
756,27343
757,27907
758,24242
759,21545
760,35070
761,24947
762,53066
763,77020
764,31439
765,24554
766,26393
767,26523
768,34664
769,41798
770,37017
771,34824
772,32144
773,29789
774,38392
775,52910
776,48514
777,41717
778,38805
779,38499
780,35335
781,36346
782,37991
783,41910
784,40176
785,37747
786,35538
787,31638
788,29011
789,32545
790,35649
791,37497
792,40717
793,37745
794,34203
795,33920
796,40423
797,40049
798,39593
799,39771
800,32450
801,29221
802,29004
803,31487
804,36669
805,51285
806,46945
807,45844
808,35393
809,33829
810,39631
811,38494
812,34188
813,31065
814,28590
815,22355
816,23710
817,26521
818,26945
819,27887
820,26235
821,25139
822,21560
823,23638
824,26007
825,26996
826,29069
827,26853
828,24784
829,22487
830,23976
831,28288
832,29241
833,31418
834,45338
835,53804
836,40825
837,37131
838,41339
839,37203
840,34385
841,34379
842,39782
843,44661
844,40331
845,46345
846,43756
847,40927
848,39086
849,36708
850,31082
851,33836
852,42538
853,48178
854,56103
855,74790
856,64293
857,49914
858,48027
859,51778
860,51470
861,54912
862,54591
863,53492
864,44339
865,45229
866,54732
867,50079
868,46140
869,49047
870,62242
871,48910
872,44907
873,58371
874,61690
875,53155
876,47490
877,45720
878,44223
879,65803
880,123516
881,144286
882,262289
883,212459
884,167229
885,111343
886,107583
887,161367
888,159921
889,179109
890,331637
891,344686
892,214245
893,189621
894,242875
895,230521
896,201431
897,163855
898,128830
899,117337
900,124072
901,137631
902,156057
903,164499
904,141432
905,164227
906,145737
907,109871
908,116313
909,126930
910,99195
911,92296
912,91724
913,83250
914,67355
915,65416
916,85549
917,91452
918,86342
919,79232
920,79836
921,79013
922,87562
923,91854
924,99815
925,88028
926,75933
927,65514
928,57507
929,63876
930,74029
931,89187
932,70655
933,58273
934,50979
935,47043
936,53460
937,48401
938,50792
939,53599
940,45074
941,39103
942,39525
943,41255
944,39961
945,44012
946,47413
947,52986
948,44264
949,42910
950,56614
951,57917
952,42782
953,40473
954,40043
955,33655
956,33358
957,42788
958,37817
959,34123
960,36704
961,31048
962,28385
963,26705
964,26856
965,38980
966,24746
967,23720
968,20187
969,18489
970,23615
971,24751
972,27708
973,23812
974,19703
975,28651
976,17645
977,17668
978,18631
979,31665
980,25862
981,18247
982,18272
983,15591
984,20093
985,21664
986,20618
987,18965
988,19632
989,17650
990,14444
991,16792
992,28645
993,22021
994,26294
995,32044
996,26204
997,14517
998,12644
999,25896
1000,20067
1001,25001
1002,17879
1003,18396
1004,12176
1005,13807
1006,18749
1007,18075
1008,20736
1009,20691
1010,18699
1011,17621
1012,17800
1013,14955
1014,18262
1015,14757
1016,16972
1017,15121
1018,12104
